id;start_date;end_date;language
1;2020-03-30T13:24:00;2020-03-30T11:14:15;SPANISH
2;2020-03-29T18:14:11;2020-03-30T13:18:36;SPANISH
3;2020-03-30T09:09:30;2020-03-29T19:43:39;FRENCH
4;2020-03-30T00:27:01;2020-03-30T11:58:27;FRENCH
5;2020-03-30T09:57:19;2020-03-30T14:44:18;FRENCH
6;2020-03-30T03:49:40;2020-03-30T15:57:54;FRENCH
7;2020-03-30T05:35:00;2020-03-29T23:25:51;FRENCH
8;2020-03-30T04:31:13;2020-03-30T14:47:21;SPANISH
9;2020-03-30T03:12:22;2020-03-29T23:53:45;SPANISH
10;2020-03-30T11:24:26;2020-03-29T21:58:56;SPANISH
